Date,Open,High,Low,Close,Adj Close,Volume
2021-01-11,930.849976,964.5,873.5,889.450012,889.450012,564383
2021-01-12,895.8,934.5,894.950012,934.099976,934.099976,472887
2021-01-13,938.950012,938.950012,884.150024,932.5,932.5,730301
2021-01-14,896.400024,931.5,884.250024,914.0,914.0,1016700
2021-01-15,914.0,921.0,907.25,920.25,920.25,1411827
2021-01-18,921.0,923.950012,880.0,889.349976,889.349976,1036889
2021-01-19,894.799988,929.450012,889.0,913.299988,913.299988,1346539
2021-01-20,924.950012,930.25,892.150024,920.349976,920.349976,946234
2021-01-21,921.799988,924.799988,905.0,913.299988,913.299988,977221
2021-01-22,913.599976,914.349976,881.099976,896.599976,896.599976,958015
2021-01-25,902.0,902.0,860.0,864.650024,864.650024,258039
2021-01-27,866.0,890.950012,842.0,862.650024,862.650024,1128886
2021-01-28,860.0,877.0,845.0,859.799988,859.799988,306074
2021-01-29,869.0,887.849976,862.899976,872.5,872.5,606301
2021-02-01,891.0,944.0,891.0,941.549988,941.549988,2804822
2021-02-02,960.450012,969.0,935.049988,960.700012,960.700012,1130156
2021-02-03,972.799988,972.799988,943.799988,962.5,962.5,811045
2021-02-04,979.0,989.0,941.549988,984.950012,984.950012,851670
2021-02-05,970.0,995.0,965.0,981.500024,981.500024,747248
2021-02-08,980.700012,1045.0,967.8,1032.349976,1032.349976,857645
2021-02-09,1039.800024,1081.0,1039.800024,1063.349976,1063.349976,821235
2021-02-10,1074.0,1114.000049,1057.049976,1099.0,1099.0,1145055
